targetId,outcomeId,analysisId,logRr,seLogRr,ci95Lb,ci95Ub,comparatorId,targetName,comparatorName,nestingId,nestingName,outcomeName,type,targetEffectSize,oldOutcomeId,targetConceptIds,comparatorConceptIds,trueEffectSize,trueEffectSizeFirstExposure,mdrrTarget,mdrrComparator,stratum,method,comparative,nesting,firstExposureOnly,database,calLogRr,calSeLogRr,calCi95Lb,calCi95Ub,calP
757352,NA,1,NA,NA,NA,NA,704599,Eszopiclone,Triazolam,436962,Insomnia,Acute pancreatitis,Exposure control,1,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
757352,NA,1,NA,NA,NA,NA,704599,Eszopiclone,Triazolam,436962,Insomnia,"Acute pancreatitis, RR=1.5",Exposure control,1.5,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
757352,NA,1,NA,NA,NA,NA,704599,Eszopiclone,Triazolam,436962,Insomnia,"Acute pancreatitis, RR=2",Exposure control,2,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
757352,NA,1,NA,NA,NA,NA,704599,Eszopiclone,Triazolam,436962,Insomnia,"Acute pancreatitis, RR=4",Exposure control,4,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
795113,NA,1,NA,NA,NA,NA,704943,Chlorzoxazone,Methocarbamol,36516951,Back pain,Acute pancreatitis,Exposure control,1,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
795113,NA,1,NA,NA,NA,NA,704943,Chlorzoxazone,Methocarbamol,36516951,Back pain,"Acute pancreatitis, RR=1.5",Exposure control,1.5,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
795113,NA,1,NA,NA,NA,NA,704943,Chlorzoxazone,Methocarbamol,36516951,Back pain,"Acute pancreatitis, RR=2",Exposure control,2,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
795113,NA,1,NA,NA,NA,NA,704943,Chlorzoxazone,Methocarbamol,36516951,Back pain,"Acute pancreatitis, RR=4",Exposure control,4,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
951279,NA,1,NA,NA,NA,NA,732893,Prilocaine,Bupivacaine,438112,Neoplastic disease,Acute pancreatitis,Exposure control,1,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
951279,NA,1,NA,NA,NA,NA,732893,Prilocaine,Bupivacaine,438112,Neoplastic disease,"Acute pancreatitis, RR=1.5",Exposure control,1.5,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
951279,NA,1,NA,NA,NA,NA,732893,Prilocaine,Bupivacaine,438112,Neoplastic disease,"Acute pancreatitis, RR=2",Exposure control,2,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
951279,NA,1,NA,NA,NA,NA,732893,Prilocaine,Bupivacaine,438112,Neoplastic disease,"Acute pancreatitis, RR=4",Exposure control,4,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1136487,NA,1,NA,NA,NA,NA,732893,ropivacaine,Bupivacaine,37522270,Surgery,Acute pancreatitis,Exposure control,1,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1136487,NA,1,NA,NA,NA,NA,732893,ropivacaine,Bupivacaine,37522270,Surgery,"Acute pancreatitis, RR=1.5",Exposure control,1.5,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1136487,NA,1,NA,NA,NA,NA,732893,ropivacaine,Bupivacaine,37522270,Surgery,"Acute pancreatitis, RR=2",Exposure control,2,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1136487,NA,1,NA,NA,NA,NA,732893,ropivacaine,Bupivacaine,37522270,Surgery,"Acute pancreatitis, RR=4",Exposure control,4,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1336926,NA,1,NA,NA,NA,NA,918906,tadalafil,oxybutynin,37119607,Benign prostatic hyperplasia,Acute pancreatitis,Exposure control,1,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1336926,NA,1,NA,NA,NA,NA,918906,tadalafil,oxybutynin,37119607,Benign prostatic hyperplasia,"Acute pancreatitis, RR=1.5",Exposure control,1.5,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1336926,NA,1,NA,NA,NA,NA,918906,tadalafil,oxybutynin,37119607,Benign prostatic hyperplasia,"Acute pancreatitis, RR=2",Exposure control,2,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1336926,NA,1,NA,NA,NA,NA,918906,tadalafil,oxybutynin,37119607,Benign prostatic hyperplasia,"Acute pancreatitis, RR=4",Exposure control,4,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1517070,NA,1,NA,NA,NA,NA,918906,desmopressin,oxybutynin,36718449,Urinary incontinence,Acute pancreatitis,Exposure control,1,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1517070,NA,1,NA,NA,NA,NA,918906,desmopressin,oxybutynin,36718449,Urinary incontinence,"Acute pancreatitis, RR=1.5",Exposure control,1.5,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1517070,NA,1,NA,NA,NA,NA,918906,desmopressin,oxybutynin,36718449,Urinary incontinence,"Acute pancreatitis, RR=2",Exposure control,2,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1517070,NA,1,NA,NA,NA,NA,918906,desmopressin,oxybutynin,36718449,Urinary incontinence,"Acute pancreatitis, RR=4",Exposure control,4,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1784444,NA,1,NA,NA,NA,NA,922868,Ivermectin,Permethrin,36110310,Arthropod infestation,Acute pancreatitis,Exposure control,1,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1784444,NA,1,NA,NA,NA,NA,922868,Ivermectin,Permethrin,36110310,Arthropod infestation,"Acute pancreatitis, RR=1.5",Exposure control,1.5,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1784444,NA,1,NA,NA,NA,NA,922868,Ivermectin,Permethrin,36110310,Arthropod infestation,"Acute pancreatitis, RR=2",Exposure control,2,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
1784444,NA,1,NA,NA,NA,NA,922868,Ivermectin,Permethrin,36110310,Arthropod infestation,"Acute pancreatitis, RR=4",Exposure control,4,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
19025115,NA,1,NA,NA,NA,NA,924939,picosulfate sodium,Bisacodyl,35702117,Gastrointestinal motility and defaecation conditions,Acute pancreatitis,Exposure control,1,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
19025115,NA,1,NA,NA,NA,NA,924939,picosulfate sodium,Bisacodyl,35702117,Gastrointestinal motility and defaecation conditions,"Acute pancreatitis, RR=1.5",Exposure control,1.5,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
19025115,NA,1,NA,NA,NA,NA,924939,picosulfate sodium,Bisacodyl,35702117,Gastrointestinal motility and defaecation conditions,"Acute pancreatitis, RR=2",Exposure control,2,1,NA,NA,NA,NA,NA,NA,Acute pancreatitis,SCCS,FALSE,TRUE,FALSE,MDCD,NA,NA,NA,NA,NA
